AE, l-mse, l-mrrezx, l-mrrexz, trust, conf, kl0.1, rre, re
min_max_mean_10.0_recon_loss_adam_denoising_2d_0.001, 0.9046757221221924, 0.07521609216928482, 0.07112416625022888, 0.9875965118408203, 0.9896851778030396, 0.05970817059278488, 170.0263671875, 170.37747192382812
min_max_mean_10.0_recon_loss_sw_loss_adam_denoising_2d_0.001, 2.253906488418579, 0.16614052653312683, 0.1359434872865677, 0.9071229696273804, 0.9485822319984436, 0.08107642829418182, 169.48411560058594, 170.11923217773438
min_max_mean_10.0_recon_loss_topological_loss_adam_denoising_2d_0.001, 539.6800537109375, 0.04843344911932945, 0.04313023015856743, 0.9914111495018005, 0.9950024485588074, 0.015118504874408245, 170.08209228515625, 170.0940704345703
min_max_mean_10.0_recon_loss_sliced_topo_loss_adam_denoising_2d_0.001, 2.421536684036255, 0.13243800401687622, 0.12221445143222809, 0.9232317209243774, 0.9471426606178284, 0.056680284440517426, 170.16416931152344, 169.98081970214844
min_max_mean_10.0_recon_loss_sw_loss_contractive_loss_adam_denoising_2d_0.001, 2.230008363723755, 0.15690487623214722, 0.12407942861318588, 0.9124038219451904, 0.960570216178894, 0.06588651239871979, 169.9107208251953, 170.00120544433594
min_max_mean_10.0_recon_loss_contractive_loss_adam_denoising_2d_0.001, 3.028055191040039, 0.05130453407764435, 0.0496862456202507, 0.9909510612487793, 0.9930562376976013, 0.019819995388388634, 169.046142578125, 170.36309814453125
min_max_mean_10.0_ranking_loss_sw_loss_dist_loss_adam_denoising_2d_0.001, 1.26058828830719, 0.05279236659407616, 0.042844824492931366, 0.9799399375915527, 0.9877060651779175, 0.02368265576660633, 165.06590270996094, 47.563812255859375
min_max_mean_10.0_ranking_loss_recon_loss_adam_denoising_2d_0.001, 3.0164761543273926, 0.07382989674806595, 0.06344617903232574, 0.9838308691978455, 0.9850322604179382, 0.08146574348211288, 169.99700927734375, 169.9694366455078
min_max_mean_10.0_ranking_loss_dist_loss_adam_denoising_2d_0.001, 0.3276515603065491, 0.04458874091506004, 0.03369024395942688, 0.9792454838752747, 0.988257110118866, 0.01706884056329727, 168.07669067382812, 23.393648147583008
min_max_mean_10.0_ranking_loss_dist_loss2_adam_denoising_2d_0.001, 938.4267578125, 0.03937121108174324, 0.03301180899143219, 0.9813500046730042, 0.9866591691970825, 0.026367858052253723, 168.01856994628906, 75.56800842285156
